X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas,TypeOfSteel_A300,TypeOfSteel_A400,Fault_class
42.0,50.0,270900.0,270944.0,267.0,17.0,44.0,24220.0,76.0,108.0,1687.0,80.0,0.0498,0.2415,0.1818,0.0047,0.4706,1.0,1.0,2.4265,0.9031,1.6435,0.8182,-0.2913,0.5822,1,0,Pastry
645.0,651.0,2538079.0,2538108.0,108.0,10.0,30.0,11397.0,84.0,123.0,1687.0,80.0,0.7647,0.3793,0.2069,0.0036,0.6,0.9667,1.0,2.0334,0.7782,1.4624,0.7931,-0.1756,0.2984,1,0,Pastry
829.0,835.0,1553913.0,1553931.0,71.0,8.0,19.0,7972.0,99.0,125.0,1623.0,100.0,0.971,0.3426,0.3333,0.0037,0.75,0.9474,1.0,1.8513,0.7782,1.2553,0.6667,-0.1228,0.215,1,0,Pastry
853.0,860.0,369370.0,369415.0,176.0,13.0,45.0,18996.0,99.0,126.0,1353.0,,0.7287,0.4413,0.1556,0.0052,0.5385,1.0,1.0,2.2455,0.8451,1.6532,0.8444,-0.1568,0.5212,0,1,Pastry
1289.0,1306.0,498078.0,498335.0,,60.0,,,37.0,126.0,1353.0,,0.0695,0.4486,0.0662,0.0126,0.2833,0.9885,1.0,3.3818,1.2305,2.4099,0.9338,-0.1992,1.0,0,1,Pastry
430.0,441.0,100250.0,100337.0,630.0,20.0,87.0,62357.0,64.0,127.0,1387.0,40.0,0.62,0.3417,0.1264,0.0079,0.55,1.0,1.0,2.7993,1.0414,1.9395,0.8736,-0.2267,0.9874,0,1,Pastry
413.0,446.0,138468.0,138883.0,,,,,23.0,,1687.0,,0.4896,0.339,0.0795,0.0196,0.1435,0.9607,1.0,3.9567,1.5185,2.6181,0.9205,,1.0,0,1,Pastry
190.0,200.0,210936.0,210956.0,132.0,11.0,20.0,20007.0,124.0,,1687.0,,0.2253,0.34,0.5,0.0059,0.9091,1.0,1.0,2.1206,1.0,1.301,0.5,,0.3359,0,1,Pastry
330.0,343.0,429227.0,429253.0,264.0,15.0,26.0,29748.0,53.0,148.0,1687.0,,0.3912,0.2189,0.5,0.0077,0.8667,1.0,1.0,2.4216,1.1139,1.415,0.5,-0.1197,0.5593,0,1,Pastry
74.0,90.0,779144.0,779308.0,1506.0,46.0,167.0,180215.0,53.0,143.0,1687.0,,0.0877,0.4261,0.0976,0.0095,0.3478,0.982,1.0,3.1778,1.2041,2.2148,0.9024,-0.0651,1.0,0,1,Pastry
106.0,118.0,813452.0,813500.0,442.0,13.0,48.0,50393.0,76.0,143.0,1687.0,,0.1257,0.2326,0.25,0.0071,0.9231,1.0,1.0,2.6454,1.0792,1.6812,0.75,-0.1093,0.8612,0,1,Pastry
505.0,515.0,106604.0,106668.0,284.0,42.0,69.0,31062.0,97.0,119.0,1687.0,,0.5987,0.5562,0.1563,0.0059,0.2381,0.9275,1.0,2.4533,1.0,1.8062,0.8438,-0.1455,0.9048,0,1,Pastry
46.0,58.0,179258.0,179312.0,480.0,15.0,54.0,61966.0,102.0,158.0,1687.0,,0.0545,0.2593,0.2222,0.0071,0.8,1.0,1.0,2.6812,1.0792,1.7324,0.7778,0.0086,0.9093,0,1,Pastry
581.0,590.0,230644.0,230704.0,433.0,22.0,60.0,38917.0,62.0,111.0,1687.0,,0.6888,0.1981,0.15,0.0053,0.4091,1.0,1.0,2.6365,0.9542,1.7781,0.85,-0.2978,0.8299,0,1,Pastry
451.0,466.0,368143.0,368208.0,728.0,30.0,68.0,69258.0,36.0,133.0,1687.0,,0.5347,0.2533,0.2308,0.0089,0.5,0.9559,1.0,2.8621,1.1761,1.8129,0.7692,-0.2568,0.9888,0,1,Pastry
669.0,684.0,491552.0,491684.0,1097.0,59.0,133.0,119540.0,50.0,134.0,1687.0,,0.7931,0.446,0.1136,0.0089,0.2542,0.9925,1.0,3.0402,1.1761,2.1206,0.8864,-0.1487,1.0,0,1,Pastry
156.0,192.0,713788.0,714056.0,,167.0,,,11.0,143.0,1687.0,,0.1849,0.4772,0.1343,0.0213,0.2156,0.9503,1.0,3.7028,1.5563,2.4281,0.8657,-0.1157,1.0,0,1,Pastry
90.0,104.0,751059.0,751132.0,552.0,38.0,76.0,59750.0,79.0,134.0,1687.0,,0.1067,0.4599,0.1918,0.0083,0.3684,0.9605,1.0,2.7419,1.1461,1.8633,0.8082,-0.1543,0.9918,0,1,Pastry
82.0,89.0,844704.0,844729.0,137.0,8.0,25.0,14907.0,92.0,126.0,1687.0,,0.0972,0.2171,0.28,0.0041,0.875,1.0,1.0,2.1367,0.8451,1.3979,0.72,-0.1499,0.2998,0,1,Pastry
1601.0,1613.0,21349.0,21376.0,209.0,15.0,27.0,24807.0,96.0,141.0,1687.0,,0.0877,0.3549,0.4444,0.0071,0.8,1.0,1.0,2.3201,1.0792,1.4314,0.5556,-0.0727,0.5362,0,1,Pastry
17.0,28.0,42683.0,42717.0,284.0,18.0,34.0,32604.0,87.0,141.0,1687.0,,0.0202,0.2406,0.3235,0.0065,0.6111,1.0,1.0,2.4533,1.0414,1.5315,0.6765,-0.1031,0.6173,0,1,Pastry
43.0,52.0,86284.0,86313.0,153.0,13.0,29.0,17753.0,101.0,134.0,1687.0,,0.051,0.4138,0.3103,0.0053,0.6923,1.0,1.0,2.1847,0.9542,1.4624,0.6897,-0.0935,0.4317,0,1,Pastry
63.0,72.0,115485.0,115504.0,106.0,10.0,19.0,13829.0,107.0,150.0,1687.0,,0.0747,0.3801,0.4737,0.0053,0.9,1.0,1.0,2.0253,0.9542,1.2787,0.5263,0.0192,0.2942,0,1,Pastry
82.0,92.0,149044.0,149083.0,264.0,15.0,39.0,32175.0,92.0,141.0,1687.0,,0.0972,0.3231,0.2564,0.0059,0.6667,1.0,1.0,2.4216,1.0,1.5911,0.7436,-0.0479,0.6422,0,1,Pastry
75.0,84.0,184350.0,184383.0,201.0,17.0,35.0,27349.0,123.0,148.0,1687.0,,0.0889,0.3232,0.2727,0.0053,0.5294,0.9429,1.0,2.3032,0.9542,1.5185,0.7273,0.063,0.4913,0,1,Pastry
1363.0,1372.0,2128884.0,2128907.0,171.0,9.0,23.0,16645.0,77.0,111.0,1373.0,40.0,0.0015,0.1739,0.3913,0.0066,1.0,1.0,1.0,2.233,0.9542,1.3617,0.6087,-0.2395,0.3464,0,1,Pastry
1358.0,1372.0,2356396.0,2356435.0,395.0,19.0,39.0,38722.0,75.0,118.0,1373.0,40.0,0.0015,0.2766,0.359,0.0102,0.7368,1.0,1.0,2.5966,1.1461,1.5911,0.641,-0.2341,0.8355,0,1,Pastry
